Marion Island,PB1,PB1_1B,ACE_ITRAX_16848,38.6,78.6,78.6,0.05,2118.55,3576.43,2865.63,2860.98,0.0266,6.7,1,TRUE,19653,77810,1.5,0,32,0,9,23,0,82,1706,3681,102,43,264,39103,290,195,110,50,0,151,646,117,2053,0,916,0,6,0,45,0,34,0,22723,4881,129,27604,4.655398484,0.214804383,3.76,4.36,115.96
Marion Island,PB1,PB1_1B,ACE_ITRAX_16849,38.7,78.7,78.7,0.05,2119.62,3580.63,2869.46,2864.74,0.0266,6.7,1,TRUE,19166,73998,1.51,0,7,0,5,42,0,80,1472,3421,67,40,234,35968,280,133,94,85,0,122,609,15,2093,0,982,0,0,0,0,109,0,0,22679,4832,111,27511,4.693501656,0.213060541,3.76,2.63,70.08
Marion Island,PB1,PB1_1B,ACE_ITRAX_16850,38.8,78.8,78.8,0.05,2122.55,3586.15,2875.01,2868.49,0.0267,6.69,1,TRUE,19150,73001,1.41,19,14,25,0,49,0,52,1259,3058,25,34,159,35243,315,137,138,124,0,0,636,0,1870,0,924,0,0,0,86,0,0,8,23265,4958,0,28223,4.692416297,0.213109822,3.75,4.23,112.67
Marion Island,PB1,PB1_1B,ACE_ITRAX_16851,38.9,78.9,78.9,0.05,2125.5,3591.27,2877.52,2872.25,0.0266,6.68,1,TRUE,18954,69069,1.35,10,16,28,5,14,4,52,1326,3162,64,41,234,30653,225,185,92,68,0,97,750,19,1926,0,828,0,0,0,0,69,0,0,23859,4778,37,28637,4.99351193,0.20025986,3.76,4.03,107.31
Marion Island,PB1,PB1_1B,ACE_ITRAX_16852,39,79,79,0.05,2126.96,3595.57,2881.6,2876.01,0.0266,6.67,1,TRUE,19821,78169,1.26,0,19,19,12,16,0,106,2474,3215,42,196,306,37802,284,201,84,124,0,47,543,23,1848,0,976,0,10,0,14,0,132,0,24078,5022,37,29100,4.794504182,0.208572141,3.76,2.88,76.6
Marion Island,PB1,PB1_1B,ACE_ITRAX_16853,39.1,79.1,79.1,0.05,2127.57,3597.81,2885.25,2879.76,0.0267,6.68,1,TRUE,18531,64412,1.4,0,27,0,24,23,0,72,1089,2407,41,40,203,25148,213,166,225,58,0,110,721,0,1796,0,792,0,17,0,43,72,18,13,25503,5026,0,30529,5.074214087,0.197074854,3.75,1.42,38
Marion Island,PB1,PB1_1B,ACE_ITRAX_16854,39.2,79.2,79.2,0.05,2128.17,3600.04,2889.58,2883.52,0.0266,6.69,1,TRUE,19542,69605,1.4,0,20,19,8,17,14,34,1294,2343,66,89,149,29785,260,201,190,58,0,173,682,136,1767,0,924,0,0,0,10,87,24,0,25390,5215,61,30605,4.86864813,0.205395825,3.76,1.41,37.63
Marion Island,PB1,PB1_1B,ACE_ITRAX_16855,39.3,79.3,79.3,0.05,2129.97,3604.11,2892.91,2887.28,0.0266,6.7,1,TRUE,19482,71924,1.39,4,42,34,27,42,14,65,1368,3556,97,63,200,32612,293,193,182,121,0,0,580,0,1837,0,916,0,23,0,52,101,0,54,24136,4776,159,28912,5.05360134,0.197878687,3.76,2.93,78.06
Marion Island,PB1,PB1_1B,ACE_ITRAX_16856,39.4,79.4,79.4,0.05,2132.08,3610.31,2896.3,2891.04,0.0266,6.7,1,TRUE,18050,64730,1.32,35,30,31,0,13,13,57,1187,3229,78,26,182,27550,206,136,177,52,92,74,631,0,1590,0,907,0,0,0,6,0,71,36,23303,4466,88,27769,5.217868339,0.191649144,3.76,4.15,110.51
Marion Island,PB1,PB1_1B,ACE_ITRAX_16857,39.5,79.5,79.5,0.05,2134.75,3613.14,2901.01,2894.79,0.0267,6.72,1,TRUE,18013,68146,1.43,7,9,8,0,28,14,49,1310,3075,48,45,170,30686,229,180,199,121,0,142,645,0,1881,39,1030,0,4,0,15,116,142,61,22755,4421,0,27176,5.14702556,0.19428697,3.75,2.75,73.33
Marion Island,PB1,PB1_1B,ACE_ITRAX_16858,39.6,79.6,79.6,0.05,2141.89,3617.49,2904.04,2898.55,0.0266,6.72,1,TRUE,18008,65784,1.35,0,0,0,0,34,0,61,1074,2910,36,54,153,28178,286,156,133,41,0,31,681,32,1736,0,948,0,5,0,31,33,80,0,23573,4764,66,28337,4.948152813,0.202095618,3.76,5.74,152.79
Marion Island,PB1,PB1_1B,ACE_ITRAX_16859,39.7,79.7,79.7,0.05,2149.22,3622.93,2907.41,2902.31,0.0266,6.72,1,TRUE,18342,67833,1.37,22,25,0,0,36,0,24,819,2492,41,20,118,30182,287,171,179,81,0,0,641,106,1678,7,975,0,0,0,13,19,139,0,24243,4825,50,29068,5.024455959,0.199026523,3.76,6.38,169.81
Marion Island,PB1,PB1_1B,ACE_ITRAX_16860,39.8,79.8,79.8,0.05,2152.38,3631.38,2910.98,2906.06,0.0267,6.71,1,TRUE,18664,63389,1.48,0,8,14,0,23,12,27,945,2669,54,48,145,24700,166,154,138,70,0,0,618,61,1468,0,888,0,0,0,17,101,0,0,25583,4855,0,30438,5.269412976,0.18977446,3.75,5.81,154.8
Marion Island,PB1,PB1_1B,ACE_ITRAX_16861,39.9,79.9,79.9,0.05,2155.41,3635.59,2913.2,2909.82,0.0266,6.71,1,TRUE,18941,63373,1.25,22,51,6,27,20,15,49,926,2332,63,80,144,24333,264,184,224,86,0,44,709,0,1458,0,1030,7,0,0,41,103,34,85,25832,4546,58,30378,5.682358117,0.175983277,3.76,3.62,96.28
Marion Island,PB1,PB1_1B,ACE_ITRAX_16862,40,80,80,0.05,2159.26,3639.15,2917.33,2913.58,0.0266,6.71,1,TRUE,18149,61758,1.32,0,32,14,0,17,0,30,814,2412,45,0,144,22261,169,151,155,125,0,158,763,60,1564,0,997,0,6,0,30,104,0,0,25957,5055,0,31012,5.134915925,0.194745155,3.76,3.71,98.54
Marion Island,PB1,PB1_1B,ACE_ITRAX_16863,40.1,80.1,80.1,0.05,2165.26,3640.48,2921,2917.38,0.0263,6.7,1,TRUE,19457,67475,1.4,10,40,9,25,50,0,30,725,2293,103,30,124,27686,124,191,150,80,0,111,646,81,1641,0,853,0,0,0,0,123,0,18,26687,5120,42,31807,5.212304688,0.191853712,3.8,3.66,96.45
Marion Island,PB1,PB1_1B,ACE_ITRAX_16864,40.2,80.2,80.2,0.05,2172.13,3641.78,2924.23,2921.18,0.0263,6.69,1,TRUE,20294,70076,1.25,0,0,20,12,25,10,36,861,2535,96,32,157,29340,138,140,74,0,0,80,790,0,1482,28,920,0,0,0,31,24,36,125,27470,4982,66,32452,5.513849859,0.181361485,3.8,4.09,107.5
Marion Island,PB1,PB1_1B,ACE_ITRAX_16865,40.3,80.3,80.3,0.05,2175.52,3643.05,2928.06,2924.99,0.0262,6.69,1,TRUE,18867,60280,1.4,0,14,19,0,18,0,20,717,2306,72,16,151,20886,42,156,116,37,0,19,755,4,1240,0,862,12,0,0,0,79,109,0,26789,5187,9,31976,5.164642375,0.193624249,3.81,2.33,61.15
Marion Island,PB1,PB1_1B,ACE_ITRAX_16866,40.4,80.4,80.4,0.05,2177.54,3644.46,2933.38,2928.79,0.0263,6.7,1,TRUE,18843,62701,1.3,0,24,0,0,25,12,28,789,2362,72,77,138,22333,175,155,61,5,0,43,655,5,1456,0,1043,0,0,0,23,0,54,37,27304,5149,0,32453,5.302777238,0.188580428,3.8,1.71,45.13
Marion Island,PB1,PB1_1B,ACE_ITRAX_16867,40.5,80.5,80.5,0.05,2180.93,3645.8,2935.86,2932.59,0.0263,6.71,1,TRUE,19314,66215,1.45,20,50,8,0,16,0,16,889,2796,73,35,150,25311,146,205,32,16,0,0,643,20,1432,0,855,0,0,0,0,0,0,54,27701,5140,80,32841,5.389299611,0.185552868,3.8,2.37,62.24
Marion Island,PB1,PB1_1B,ACE_ITRAX_16868,40.6,80.6,80.6,0.05,2186.2,3647.38,2939,2936.4,0.0262,6.7,1,TRUE,18714,59797,1.28,22,29,30,15,23,31,41,700,2095,104,9,131,19519,51,191,141,40,0,45,631,0,1293,0,1037,0,0,0,19,59,48,0,27610,5131,0,32741,5.381017346,0.185838464,3.81,3.42,89.9
Marion Island,PB1,PB1_1B,ACE_ITRAX_16869,40.7,80.7,80.7,0.05,2192.56,3650.32,2943.45,2940.2,0.0263,6.7,1,TRUE,19021,60787,1.29,0,0,0,9,17,4,13,572,2165,56,10,122,20219,101,138,85,45,0,26,672,0,1397,0,1026,0,0,0,7,69,64,0,28332,5024,20,33356,5.63933121,0.177325992,3.8,4.65,122.37
Marion Island,PB1,PB1_1B,ACE_ITRAX_16870,40.8,80.8,80.8,0.05,2199.54,3652.43,2946.88,2944,0.0263,6.71,1,TRUE,20394,64246,1.36,22,25,6,11,17,19,0,523,1984,101,15,181,20898,168,215,162,72,0,36,862,0,1514,25,911,0,0,0,0,188,94,0,29932,5504,0,35436,5.438226744,0.183883469,3.8,4.54,119.61
Marion Island,PB1,PB1_1B,ACE_ITRAX_16871,40.9,80.9,80.9,0.05,2203.97,3653.61,2950.44,2947.81,0.0262,6.72,1,TRUE,21092,68437,1.26,13,30,19,29,28,23,14,719,2372,106,45,142,25616,237,177,143,0,0,0,864,0,1380,0,1149,0,0,0,23,28,49,73,29278,5255,0,34533,5.571455756,0.179486304,3.81,2.81,73.62
Marion Island,PB1,PB1_1B,ACE_ITRAX_16872,41,81,81,0.05,2209.39,3654.97,2953.52,2951.61,0.0263,6.73,1,TRUE,19903,64820,1.32,0,21,16,8,24,12,23,820,2476,102,53,128,23498,145,178,170,0,0,112,688,24,1146,0,965,0,0,0,30,117,81,59,28261,4990,0,33251,5.663527054,0.176568416,3.8,3.39,89.21
Marion Island,PB1,PB1_1B,ACE_ITRAX_16873,41.1,81.1,81.1,0.05,2215.89,3656.07,2957.66,2955.41,0.0263,6.73,1,TRUE,18637,62465,1.42,5,38,18,11,29,18,34,1009,2427,38,82,191,21995,178,179,110,78,13,0,639,75,1539,0,966,0,0,0,0,0,55,0,26795,5182,119,31977,5.170783481,0.19339429,3.8,3.8,100
Marion Island,PB1,PB1_1B,ACE_ITRAX_16874,41.2,81.2,81.2,0.05,2220.93,3658.17,2961.13,2959.22,0.0262,6.71,1,TRUE,19301,61672,1.35,0,15,4,8,13,0,5,685,2197,87,0,152,20654,281,191,112,63,0,240,654,101,1243,0,1084,0,0,0,45,61,172,0,27643,5241,0,32884,5.274375119,0.189595919,3.81,3.57,93.7
Marion Island,PB1,PB1_1B,ACE_ITRAX_16875,41.3,81.3,81.3,0.05,2225.92,3664,2965.18,2963.02,0.0263,6.69,1,TRUE,19676,65442,1.4,17,48,10,0,10,16,38,821,2897,58,57,151,25326,156,210,168,47,0,92,607,59,1432,0,954,0,0,0,6,144,0,0,26528,5015,84,31543,5.289730808,0.189045537,3.8,5.41,142.37
Marion Island,PB1,PB1_1B,ACE_ITRAX_16876,41.4,81.4,81.4,0.05,2229.82,3669.07,2968.89,2966.83,0.0262,6.67,1,TRUE,19367,64353,1.42,9,20,13,23,34,16,47,861,2812,82,75,211,24270,175,143,123,38,8,19,790,123,1619,0,995,0,19,0,13,0,0,0,26335,4804,0,31139,5.481890092,0.182418834,3.81,4.49,117.72
Marion Island,PB1,PB1_1B,ACE_ITRAX_16877,41.5,81.5,81.5,0.05,2234.09,3670.99,2973.81,2970.63,0.0263,6.67,1,TRUE,19145,67370,1.44,4,19,13,9,34,12,61,1063,2907,118,59,107,27795,252,169,139,130,0,0,694,0,1858,0,1091,0,15,0,16,50,195,96,24855,4901,97,29756,5.071413997,0.197183665,3.8,3.09,81.45
Marion Island,PB1,PB1_1B,ACE_ITRAX_16878,41.6,81.6,81.6,0.05,2238.24,3672.88,2976.86,2974.43,0.0263,6.68,1,TRUE,18274,65662,1.36,8,38,12,5,25,0,52,1033,2649,60,81,165,29162,218,187,245,88,0,0,597,16,1796,0,923,0,0,0,18,56,113,0,22538,4823,9,27361,4.673025088,0.213994143,3.8,3.02,79.47
Marion Island,PB1,PB1_1B,ACE_ITRAX_16879,41.7,81.7,81.7,0.05,2241.03,3673.6,2980.67,2978.24,0.0262,6.68,1,TRUE,17904,65842,1.54,38,23,9,29,25,9,17,1099,2772,75,29,175,30153,244,113,99,0,0,159,534,0,1507,0,806,0,0,0,0,81,113,103,22558,4489,0,27047,5.025172644,0.198998138,3.81,1.76,46.06
Marion Island,PB1,PB1_1B,ACE_ITRAX_16880,41.8,81.8,81.8,0.05,2243.78,3676.45,2985.07,2982.04,0.0263,6.67,1,TRUE,17797,67793,1.46,17,34,28,0,36,0,56,1374,2935,29,119,215,31927,366,151,108,76,0,0,612,0,1803,33,946,0,10,0,32,10,0,9,21619,4649,85,26268,4.650247365,0.215042324,3.8,2.8,73.68
Marion Island,PB1,PB1_1B,ACE_ITRAX_16881,41.9,81.9,81.9,0.05,2247.56,3678.6,2988.16,2985.84,0.0263,6.66,1,TRUE,17270,64413,1.27,15,30,10,15,18,9,56,835,2296,117,45,171,30280,261,127,89,81,0,79,582,0,1880,0,993,0,7,0,0,0,117,0,21435,4385,0,25820,4.888255416,0.204571962,3.8,2.96,78.03
Marion Island,PB1,PB1_1B,ACE_ITRAX_16882,42,82,82,0.05,2250.65,3680.53,2992.75,2989.65,0.0262,6.66,1,TRUE,18773,71891,1.43,30,44,19,0,34,0,19,874,2427,74,19,199,35683,261,128,122,13,0,74,666,71,1876,0,1024,0,0,0,24,83,90,0,22520,4925,43,27445,4.572588832,0.218694494,3.81,2.51,65.88
Marion Island,PB1,PB1_1B,ACE_ITRAX_16883,42.1,82.1,82.1,0.05,2253.57,3682.43,2996.39,2993.45,0.0263,6.66,1,TRUE,19713,80947,1.55,5,7,25,0,42,0,76,1377,3156,95,65,237,44152,83,127,44,49,0,116,545,0,1935,0,839,0,0,6,18,0,70,71,22501,4763,152,27264,4.724123452,0.211679481,3.8,2.41,63.42
Marion Island,PB1,PB1_1B,ACE_ITRAX_16884,42.2,82.2,82.2,0.05,2254.32,3685.79,3001.72,2997.25,0.0263,6.67,1,TRUE,18440,69885,1.46,0,19,26,11,4,14,79,1297,2953,44,77,189,34078,351,99,25,7,0,8,582,16,1947,0,1061,0,26,0,44,35,0,0,21660,4738,138,26398,4.571549177,0.218744229,3.8,2.06,54.08
Marion Island,PB1,PB1_1B,ACE_ITRAX_16885,42.3,82.3,82.3,0.05,2257.1,3691.67,3005.52,3001.06,0.0262,6.68,1,TRUE,17013,61160,1.3,0,22,12,19,13,13,61,1006,2473,38,35,218,26689,200,196,40,18,0,136,576,116,2134,0,957,0,0,0,57,0,0,0,20818,4579,80,25397,4.546407513,0.219953886,3.81,4.33,113.65
Marion Island,PB1,PB1_1B,ACE_ITRAX_16886,42.4,82.4,82.4,0.05,2261.75,3693.36,3009.4,3004.86,0.0263,6.68,1,TRUE,16926,59278,1.38,13,26,0,0,5,0,26,1087,2223,52,80,133,24426,337,87,145,94,0,19,472,39,1994,0,1004,0,0,0,0,48,73,0,21668,4663,33,26331,4.64679391,0.215202141,3.8,3.17,83.42
Marion Island,PB1,PB1_1B,ACE_ITRAX_16887,42.5,82.5,82.5,0.05,2266.19,3696.07,3014.12,3008.66,0.0263,6.68,1,TRUE,18562,65504,1.39,0,5,41,6,0,13,52,937,2463,41,54,243,28538,262,134,70,67,0,30,542,0,1954,0,934,0,0,0,59,29,0,0,23455,4992,0,28447,4.698517628,0.212833085,3.8,3.58,94.08
Marion Island,PB1,PB1_1B,ACE_ITRAX_16888,42.6,82.6,82.6,0.05,2269.41,3699.96,3018.28,3012.47,0.0262,6.68,1,TRUE,19368,67994,1.34,17,16,21,0,29,0,18,873,2609,75,53,181,28607,260,182,128,104,0,119,733,55,2004,0,905,0,0,0,7,0,36,0,24992,5368,0,30360,4.655737705,0.214788732,3.81,3.55,93.31
Marion Island,PB1,PB1_1B,ACE_ITRAX_16889,42.7,82.7,82.7,0.05,2272.5,3704.16,3022.45,3016.27,0.0263,6.68,1,TRUE,20259,72122,1.41,0,0,0,39,26,0,27,1246,3277,52,22,190,31294,250,147,188,181,0,0,774,0,1965,0,867,0,0,0,60,51,0,0,25867,4899,25,30766,5.280057155,0.189391889,3.8,3.64,95.92
Marion Island,PB1,PB1_1B,ACE_ITRAX_16890,42.8,82.8,82.8,0.05,2275.98,3708.58,3026.11,3020.07,0.0263,6.68,1,TRUE,18088,64787,1.41,0,16,0,0,35,0,32,880,2095,53,42,148,27714,209,166,118,65,0,51,667,89,1748,0,905,0,0,0,40,58,0,0,24208,4857,36,29065,4.984146593,0.200636153,3.8,3.95,103.95
Marion Island,PB1,PB1_1B,ACE_ITRAX_16891,42.9,82.9,82.9,0.05,2278.76,3712.61,3029.84,3023.88,0.0262,6.69,1,TRUE,17869,62276,1.26,0,0,31,12,35,0,28,922,1928,70,29,114,24693,180,165,106,34,0,139,640,0,1759,0,950,0,0,0,24,86,39,0,24991,4755,42,29746,5.25573081,0.190268497,3.81,3.41,89.37
Marion Island,PB1,PB1_1B,ACE_ITRAX_16892,43,83,83,0.05,2282.58,3716.82,3032.41,3027.68,0.0263,6.65,1,TRUE,17484,60620,1.25,0,21,0,23,33,14,37,941,2342,45,16,160,23763,175,145,133,57,0,103,720,0,1545,0,871,0,14,0,0,17,0,0,23916,4853,102,28769,4.92808572,0.202918548,3.8,4.01,105.66
Marion Island,PB1,PB1_1B,ACE_ITRAX_16893,43.1,83.1,83.1,0.05,2286.52,3720.01,3035.67,3031.48,0.0263,6.62,1,TRUE,16346,56741,1.32,12,31,21,11,39,0,32,821,1864,15,39,177,21966,178,128,75,73,0,12,492,19,1583,0,832,4,0,0,30,144,72,0,22886,4605,0,27491,4.969815418,0.201214716,3.8,3.57,93.82
Marion Island,PB1,PB1_1B,ACE_ITRAX_16894,43.2,83.2,83.2,0.05,2289.64,3723.63,3038.9,3035.29,0.0262,6.61,1,TRUE,17106,56766,1.13,0,23,9,18,43,0,31,663,1731,0,47,107,20157,163,118,98,40,43,75,527,71,1648,0,977,0,0,0,38,8,51,33,24659,4786,63,29445,5.152319265,0.194087351,3.81,3.37,88.45
Marion Island,PB1,PB1_1B,ACE_ITRAX_16895,43.3,83.3,83.3,0.05,2292.72,3727.65,3041.72,3039.09,0.0263,6.61,1,TRUE,18749,65448,1.32,22,24,16,0,20,0,52,1048,2158,93,40,182,26843,160,171,237,42,0,23,611,0,1560,0,1004,0,0,0,0,53,0,8,25611,4969,47,30580,5.154155766,0.194018195,3.8,3.55,93.42
Marion Island,PB1,PB1_1B,ACE_ITRAX_16896,43.4,83.4,83.4,0.05,2297.46,3731.47,3045.1,3042.89,0.0263,6.62,1,TRUE,17823,57914,1.42,0,0,14,15,34,17,55,677,1499,22,62,111,19589,175,146,107,55,69,144,628,23,1319,0,943,0,6,0,39,0,0,33,26477,5010,154,31487,5.284830339,0.189220833,3.8,4.28,112.63
Marion Island,PB1,PB1_1B,ACE_ITRAX_16897,43.5,83.5,83.5,0.05,2300.81,3735.12,3047.63,3046.7,0.0262,6.62,1,TRUE,18872,59537,1.28,40,37,45,13,39,0,38,707,1857,57,46,128,19110,40,175,142,75,0,99,597,80,1513,0,1054,0,0,0,0,0,6,0,27970,5067,133,33037,5.520031577,0.181158384,3.81,3.5,91.86
Marion Island,PB1,PB1_1B,ACE_ITRAX_16898,43.6,83.6,83.6,0.05,2303.66,3740,3052.63,3050.5,0.0263,6.63,1,TRUE,19227,61602,1.31,9,10,17,15,36,6,7,749,2044,57,52,140,21377,103,222,137,93,0,163,588,0,1369,7,919,5,0,0,4,0,17,0,27779,5035,57,32814,5.517179742,0.181252025,3.8,3.87,101.71
Marion Island,PB1,PB1_1B,ACE_ITRAX_16899,43.7,83.7,83.7,0.05,2309.45,3742.93,3057.07,3054.3,0.0263,6.62,1,TRUE,19273,60707,1.46,0,42,0,11,28,19,33,829,1756,28,27,118,20313,140,152,87,0,0,0,626,135,1593,0,816,0,0,0,27,0,161,0,28169,5031,0,33200,5.599085669,0.178600589,3.8,4.36,114.74
Marion Island,PB1,PB1_1B,ACE_ITRAX_16900,43.8,83.8,83.8,0.05,2310.91,3746.74,3061.41,3058.11,0.0262,6.58,1,TRUE,20010,68255,1.37,6,46,13,6,63,0,32,1394,2088,66,99,150,26369,110,208,143,71,8,95,592,0,1422,0,906,0,0,0,19,0,0,92,28230,5444,154,33674,5.185525349,0.192844492,3.81,2.63,69.16
Marion Island,PB1,PB1_1B,ACE_ITRAX_16901,43.9,83.9,83.9,0.05,2316.52,3750.49,3065.69,3061.91,0.0263,6.56,1,TRUE,21408,70384,1.3,10,31,19,9,21,24,62,1092,2554,64,72,172,25223,221,251,109,42,0,141,772,4,1729,0,1017,0,0,0,15,117,49,35,30327,5509,0,35836,5.504991832,0.181653312,3.8,4.68,123.16
Marion Island,PB1,PB1_1B,ACE_ITRAX_16902,44,84,84,0.05,2318.46,3753.27,3068.7,3065.71,0.0263,6.57,1,TRUE,21393,75393,1.44,0,0,0,22,13,0,90,1509,3225,41,26,216,31674,175,182,103,122,0,5,623,10,1803,0,979,0,0,0,32,105,33,101,28471,5179,60,33650,5.497393319,0.181904394,3.8,2.36,62.11
Marion Island,PB1,PB1_1B,ACE_ITRAX_16903,44.1,84.1,84.1,0.05,2320.87,3758.08,3073.21,3069.52,0.0262,6.59,1,TRUE,19161,64007,1.23,0,41,26,7,36,10,51,966,2131,28,50,123,24175,185,193,154,55,0,86,647,82,1629,0,971,0,0,0,22,208,0,28,26327,5050,60,31377,5.213267327,0.191818285,3.81,3.61,94.75
Marion Island,PB1,PB1_1B,ACE_ITRAX_16904,44.2,84.2,84.2,0.05,2322.25,3762.8,3076.98,3073.32,0.0263,6.6,1,TRUE,17835,60579,1.36,0,10,8,0,35,17,57,957,1995,34,0,154,23217,126,198,74,28,0,4,786,43,1290,25,1040,0,0,0,0,34,5,49,25237,4578,42,29815,5.512669288,0.181400325,3.8,3.05,80.26
Marion Island,PB1,PB1_1B,ACE_ITRAX_16905,44.3,84.3,84.3,0.05,2323.58,3765.7,3082.52,3077.12,0.0263,6.57,1,TRUE,16618,56502,1.3,10,21,7,13,31,19,17,731,1641,53,8,126,21458,94,171,116,0,41,93,510,97,1123,0,831,0,11,0,33,0,0,0,23895,4802,7,28697,4.976051645,0.200962544,3.8,2.11,55.66
Marion Island,PB1,PB1_1B,ACE_ITRAX_16906,44.4,84.4,84.4,0.05,2326.64,3766.44,3085.59,3080.93,0.0262,6.54,1,TRUE,18412,61665,1.34,17,30,23,11,18,0,25,806,2143,26,34,165,23187,187,189,59,38,0,39,589,7,1974,0,949,0,0,0,43,0,24,0,25471,5090,37,30561,5.004125737,0.199835107,3.81,1.9,49.87
Marion Island,PB1,PB1_1B,ACE_ITRAX_16907,44.5,84.5,84.5,0.05,2328.65,3771.84,3089.63,3084.73,0.0263,6.55,1,TRUE,19293,66011,1.31,27,20,14,8,21,0,27,916,2405,56,59,196,26664,161,221,110,46,0,118,684,0,1919,0,958,0,0,0,29,87,0,0,25370,5206,41,30576,4.873223204,0.205202996,3.8,3.71,97.5
Marion Island,PB1,PB1_1B,ACE_ITRAX_16909,44.7,84.7,84.7,0.05,2335.9,3780.69,3096.87,3092.34,0.0263,6.63,1,TRUE,18136,64619,1.39,53,31,27,13,0,0,36,1109,2461,74,76,208,26555,31,204,223,156,0,14,598,84,2034,0,1081,0,0,0,36,171,72,0,23835,4890,0,28725,4.874233129,0.205160478,7.61,8.05,105.78
Marion Island,PB1,PB1_1B,ACE_ITRAX_16910,44.8,84.8,84.8,0.05,2341.2,3785.31,3101.88,3096.14,0.0263,6.63,1,TRUE,18717,68503,1.45,11,51,24,4,7,13,54,948,2885,79,49,241,29685,232,206,141,150,0,24,667,51,2226,0,1038,0,0,0,31,35,0,45,23954,5074,132,29028,4.720930233,0.21182266,3.8,4.96,130.53
Marion Island,PB1,PB1_1B,ACE_ITRAX_16911,44.9,84.9,84.9,0.05,2344.59,3789.71,3104.55,3099.94,0.0263,6.64,1,TRUE,19410,73987,1.32,18,26,30,30,21,8,89,1508,3190,54,71,234,34678,203,157,123,16,0,162,685,59,2095,0,1007,0,0,0,8,123,87,52,23521,5019,100,28540,4.686391711,0.213383785,3.8,3.9,102.5
Marion Island,PB1,PB1_1B,ACE_ITRAX_16912,45,85,85,0.05,2347.17,3793.74,3107.49,3103.75,0.0262,6.64,1,TRUE,18763,72348,1.29,29,34,27,18,34,28,75,1430,3126,81,66,219,34828,120,164,145,56,0,120,586,95,1745,0,1103,0,0,0,43,16,55,27,22817,4692,15,27509,4.862958227,0.205636148,3.81,3.3,86.75
Marion Island,PB1,PB1_1B,ACE_ITRAX_16913,45.1,85.1,85.1,0.05,2350.95,3796.76,3111.67,3107.5,0.0267,6.63,1,TRUE,17497,66053,1.34,26,16,12,15,36,0,30,1175,2830,58,29,190,30359,193,184,137,0,0,26,681,45,1691,10,833,0,0,0,23,39,104,42,21932,4677,80,26609,4.689330768,0.213250046,3.75,3.4,90.67
Marion Island,PB1,PB1_1B,ACE_ITRAX_16914,45.2,85.2,85.2,0.05,2354.72,3799.61,3116.23,3111.25,0.0267,6.6,1,TRUE,16699,62416,1.34,67,67,52,6,35,5,68,1341,2738,9,31,194,28079,125,103,91,31,0,90,533,48,1881,0,880,0,0,0,36,0,95,20,21160,4102,57,25262,5.158459288,0.193856333,3.75,3.31,88.27
Marion Island,PB1,PB1_1B,ACE_ITRAX_16915,45.3,85.3,85.3,0.05,2358.47,3801.65,3119.36,3115,0.0267,6.6,1,TRUE,15464,57703,1.28,0,0,19,8,25,0,64,975,2485,21,71,148,27440,141,109,58,49,0,0,600,70,1456,0,831,0,14,0,39,53,75,13,18374,3996,0,22370,4.598098098,0.217481223,3.75,2.89,77.2
Marion Island,PB1,PB1_1B,ACE_ITRAX_16916,45.4,85.4,85.4,0.05,2362.28,3803.77,3124.61,3118.75,0.0267,6.62,1,TRUE,14988,61655,1.37,0,31,33,14,34,0,52,1489,2129,39,76,198,32476,267,97,61,35,0,85,431,140,1694,0,834,0,10,0,44,109,48,0,16902,3837,0,20739,4.405003909,0.227014554,3.75,2.97,79.07
Marion Island,PB1,PB1_1B,ACE_ITRAX_16917,45.5,85.5,85.5,0.05,2366.52,3806.26,3126.83,3122.51,0.0266,6.64,1,TRUE,15926,67325,1.31,5,29,19,22,42,14,83,1849,2318,29,91,260,36774,104,147,93,58,0,0,467,10,1881,39,783,0,21,0,55,33,0,0,17340,4254,19,21594,4.076163611,0.24532872,3.76,3.37,89.49
Marion Island,PB1,PB1_1C,ACE_ITRAX_16919,6.1,86.1,86.1,0.05,2402.46,3818.65,3150.18,3145.02,0.0267,6.58,1,TRUE,19021,68395,1.47,8,15,36,0,0,0,35,1353,3641,84,36,180,29496,223,156,176,139,33,52,815,18,1721,0,902,0,0,0,53,25,119,0,23658,4782,31,28440,4.947302384,0.202130358,22.51,24.17,107.35
Marion Island,PB1,PB1_1C,ACE_ITRAX_16920,6.2,86.2,86.2,0.05,2409.5,3823.81,3154.9,3148.77,0.0267,6.58,1,TRUE,18070,63386,1.3,17,35,14,11,23,13,55,1089,3156,95,80,175,26621,154,165,191,91,0,88,807,0,1592,0,773,0,0,0,24,53,0,0,22858,4676,41,27534,4.888366125,0.204567329,3.75,6.1,162.67
Marion Island,PB1,PB1_1C,ACE_ITRAX_16921,6.3,86.3,86.3,0.05,2416.9,3826.66,3158.53,3152.52,0.0267,6.59,1,TRUE,17189,60098,1.35,0,28,19,0,0,5,26,962,2821,77,54,157,24282,246,150,161,28,6,100,784,105,1861,0,912,0,0,0,51,0,124,0,22043,4512,144,26555,4.885416667,0.204690832,3.75,5.13,136.67
